,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors,predictions
4350,2012,Carmelo Anthony,SF,27,NYK,55,55,1876,8.5,19.7,0.43,1.3,3.9,0.335,7.2,15.8,0.45399999999999996,5.7,7.0,0.804,1.7,4.9,6.6,3.8,1.2,0.5,2.8,3.0,23.9,Third,No_Honors
4403,2012,Kobe Bryant,SG,33,LAL,58,58,2232,9.3,21.5,0.43,1.4,4.6,0.303,7.9,16.9,0.46399999999999997,6.1,7.3,0.845,1.1,4.0,5.0,4.3,1.1,0.3,3.3,1.7,26.1,First,No_Honors
4410,2012,Andrew Bynum,C,24,LAL,60,60,2112,7.6,13.6,0.5579999999999999,0.0,0.1,0.2,7.6,13.5,0.56,4.0,5.8,0.6920000000000001,3.3,8.8,12.1,1.4,0.5,2.0,2.6,1.8,19.1,Second,No_Honors
4425,2012,Tyson Chandler,C,29,NYK,62,62,2061,4.2,6.2,0.679,0.0,0.0,0.0,4.2,6.2,0.6829999999999999,3.8,5.5,0.6890000000000001,3.7,7.0,10.7,1.0,1.0,1.6,1.8,3.2,12.2,Third,No_Honors
4471,2012,Kevin Durant,SF,23,OKC,66,66,2546,9.1,18.3,0.496,1.9,4.9,0.387,7.2,13.5,0.535,6.1,7.1,0.86,0.6,6.9,7.5,3.3,1.2,1.1,3.5,1.9,26.2,First,No_Honors
4539,2012,Blake Griffin,PF,22,LAC,66,66,2392,8.4,15.4,0.5489999999999999,0.0,0.2,0.125,8.4,15.1,0.556,3.7,7.0,0.521,3.3,7.5,10.8,3.2,0.8,0.7,2.3,3.3,20.6,Second,No_Honors
4583,2012,Dwight Howard,C,26,ORL,54,54,2070,7.2,12.6,0.573,0.0,0.1,0.0,7.2,12.5,0.579,4.9,9.9,0.491,3.5,10.2,13.7,1.8,1.4,2.0,3.0,2.8,19.4,First,No_Honors
4660,2012,Kevin Love,PF,23,MIN,55,55,2145,8.0,17.8,0.44799999999999995,1.8,4.7,0.37200000000000005,6.2,13.0,0.475,6.4,7.7,0.8240000000000001,3.8,8.5,12.3,1.9,0.8,0.5,2.1,2.6,24.0,Second,No_Honors
4712,2012,Dirk Nowitzki,PF,33,DAL,62,62,2079,8.2,17.9,0.457,1.4,3.7,0.368,6.8,14.2,0.48100000000000004,5.5,6.1,0.8959999999999999,0.8,6.4,7.2,2.4,0.7,0.5,2.0,2.2,23.2,Third,No_Honors
4724,2012,Tony Parker,PG,29,SAS,60,60,1923,8.0,16.7,0.48,0.3,1.1,0.23,7.7,15.5,0.498,4.2,5.3,0.799,0.4,2.8,3.2,8.7,1.1,0.1,2.9,1.4,20.5,Second,No_Honors
4750,2012,Rajon Rondo,PG,25,BOS,53,53,1957,4.7,10.5,0.44799999999999995,0.2,0.8,0.23800000000000002,4.5,9.7,0.46399999999999997,2.0,3.3,0.597,1.1,3.6,4.7,11.4,1.7,0.1,3.6,1.8,11.6,Third,No_Honors
4751,2012,Derrick Rose,PG,23,CHI,39,39,1375,7.9,18.2,0.435,1.4,4.5,0.312,6.5,13.7,0.475,5.1,6.3,0.812,0.7,2.7,3.4,8.0,0.9,0.7,3.1,1.4,22.3,First,No_Honors
4834,2012,Dwyane Wade,SG,30,MIA,49,49,1625,9.2,18.5,0.49700000000000005,0.3,1.2,0.268,8.9,17.3,0.513,5.2,6.6,0.7909999999999999,1.6,3.6,5.3,5.0,1.8,1.4,2.9,2.4,24.0,Third,No_Honors
